LGA_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
LGA12380,1912,469,14,3,490,3,2396,462,8063,710,43,8816,0,9278,8,1189,898,16,2113,5,2125,0,49,9,34,91,0,96,468,9305,1622,95,11013,6,11497,3,20,0,0,18,28,55,2387,9796,1633,92,11521,39,13948,1794,330,11,3,346,3,2140,371,6868,611,36,7517,5,7895,8,1073,780,17,1873,3,1878,4,32,3,27,71,0,72,384,7981,1387,82,9453,12,9849,3,9,0,0,9,17,33,2178,8320,1399,88,9805,34,12021,947,127,9,3,142,0,1085,165,3121,344,18,3478,0,3647,10,545,448,4,1001,3,1010,3,20,3,11,32,0,36,172,3686,793,36,4513,5,4695,4,3,0,0,4,14,16,1123,3817,799,40,4655,17,5791,595,67,3,0,74,0,672,102,1808,226,10,2037,3,2148,14,312,291,4,607,0,625,0,10,4,6,18,0,18,115,2126,519,20,2670,4,2790,0,4,0,0,3,3,7,711,2199,527,25,2749,10,3469,725,81,8,3
LGA12700,350,4,0,0,4,0,360,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,359,4,0,0,4,0,359,426,4,0,0,4,0,429,3,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,3,0,6,0,0,0,0,0,3,3,428,11,0,0,11,3,438,203,0,0,0,0,0,200,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,203,3,0,0,3,3,213,163,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,164,0,0,0,0,3,169,206,0,0,0
LGA12730,324,0,0,0,3,4,326,4,7,0,0,7,0,16,0,4,0,0,4,0,4,0,0,0,0,0,0,0,4,14,0,0,14,0,19,0,0,0,0,0,0,0,327,11,0,0,18,4,345,350,0,0,3,3,3,355,3,11,0,0,11,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,11,0,14,0,0,0,0,0,0,0,355,13,0,3,14,3,377,204,0,0,0,0,0,205,4,8,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,8,0,10,3,0,0,0,0,0,4,203,11,0,0,11,0,215,117,3,0,0,3,0,114,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,0,0,0,0,3,3,114,8,0,0,8,3,121,145,3,0,0
LGA12750,912,13,0,0,14,4,929,19,26,0,0,26,0,53,0,0,3,0,6,0,6,0,0,0,0,0,0,0,19,34,3,0,36,0,55,0,0,0,0,0,3,3,934,48,3,0,48,4,991,1098,17,3,0,15,3,1122,20,23,0,0,28,0,47,0,4,0,0,3,0,3,0,0,0,0,0,0,0,20,31,3,0,28,0,53,0,0,0,0,0,0,3,1124,47,3,0,51,4,1173,672,8,0,0,4,0,682,15,9,0,0,7,0,27,0,3,0,0,3,0,3,0,0,0,0,0,0,0,15,12,4,0,11,0,30,0,0,0,0,0,0,0,692,18,0,0,21,0,712,429,9,0,0,9,0,438,11,8,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,10,0,18,3,0,0,0,0,0,3,439,17,0,0,17,0,456,503,7,3,0
LGA12850,1223,392,7,0,404,5,1624,452,4022,557,38,4616,3,5070,17,1058,1112,11,2187,0,2206,0,39,3,24,67,0,66,478,5115,1677,75,6870,3,7343,6,7,0,0,7,30,40,1701,5517,1682,78,7275,38,9011,1174,241,10,0,259,11,1440,355,4067,566,20,4651,3,5011,31,1085,1349,5,2446,0,2478,0,25,6,23,57,0,55,391,5180,1921,49,7157,3,7549,3,4,3,0,4,17,28,1568,5430,1934,50,7418,26,9012,740,130,4,0,134,9,877,185,2247,330,15,2595,0,2778,11,637,922,8,1566,0,1579,0,15,0,12,27,0,26,194,2906,1253,33,4190,0,4384,0,10,3,0,8,19,26,932,3040,1258,32,4332,24,5292,443,86,0,0,87,0,534,93,1552,223,12,1785,0,1879,8,431,708,3,1134,0,1140,0,9,4,9,23,0,25,100,1984,934,20,2945,0,3044,0,4,0,0,4,6,9,546,2078,938,20,3039,7,3589,643,98,0,0
LGA12870,425,3,0,0,3,4,436,4,12,0,0,11,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,11,0,12,0,0,0,0,0,0,3,429,12,0,0,18,3,453,501,0,0,0,0,5,502,3,12,0,0,12,0,13,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,13,0,0,13,0,16,0,0,0,0,0,4,7,505,13,0,0,13,8,527,294,0,0,0,0,0,293,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,300,4,0,0,3,3,301,167,0,0,0,0,0,172,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,0,167,3,0,0,4,0,172,207,0,0,0
LGA12900,408,0,0,0,0,0,413,0,19,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19,0,17,0,0,0,0,0,0,0,412,21,0,0,21,0,433,432,0,0,0,0,0,432,3,18,0,0,18,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,18,0,23,0,0,0,0,0,0,0,430,18,0,0,18,0,448,209,0,0,0,0,3,213,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,206,8,0,0,8,3,219,163,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,3,0,0,3,0,168,148,0,0,0
LGA12930,2080,304,3,0,305,6,2387,421,3685,189,21,3894,0,4313,8,302,242,3,550,0,557,0,10,0,3,17,0,14,429,3994,432,25,4456,0,4885,8,3,0,0,3,9,20,2509,4305,439,32,4769,14,7291,2271,283,0,0,279,0,2559,381,2964,158,11,3131,0,3518,10,258,226,3,490,0,497,0,13,3,5,24,0,24,393,3231,390,12,3640,0,4037,11,0,0,0,0,5,15,2672,3518,390,14,3923,7,6602,1296,130,0,3,131,0,1429,203,1542,99,0,1637,0,1838,7,120,170,0,289,0,296,0,4,0,3,3,0,3,212,1665,268,3,1936,0,2143,0,0,0,0,0,0,4,1502,1795,268,6,2070,3,3578,857,75,0,0,75,0,935,137,977,95,3,1077,0,1217,3,82,119,0,205,0,210,0,6,0,0,8,0,8,140,1066,221,3,1285,0,1429,0,0,0,0,0,3,4,1004,1146,221,3,1364,3,2377,1193,85,0,3
LGA12950,145,0,0,0,0,0,145,3,3,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,11,0,0,0,0,0,0,0,153,3,0,0,3,0,159,182,0,0,0,0,0,182,8,4,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,4,0,14,0,0,0,0,0,4,4,182,4,0,0,4,4,195,77,0,0,0,0,0,77,3,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,5,0,0,0,0,0,0,0,80,3,0,0,3,0,87,54,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,55,68,0,0,0
LGA13010,264,3,0,0,3,7,272,5,13,0,0,13,0,14,0,0,3,0,3,0,3,0,0,0,0,0,0,0,5,13,3,0,16,0,14,0,0,0,0,0,0,0,267,13,3,0,13,7,287,301,0,0,0,0,3,306,4,3,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,6,0,0,0,0,0,0,0,307,4,0,0,5,3,314,183,0,0,0,0,0,183,3,4,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,4,0,13,0,0,0,0,0,0,0,187,7,3,0,10,0,193,108,0,0,0,0,0,107,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,113,3,0,0,3,0,114,148,0,0,0
LGA13310,1059,13,0,0,17,0,1079,32,68,3,0,72,0,98,0,15,3,0,20,0,20,0,0,0,0,0,0,0,32,84,4,0,88,0,123,4,0,0,0,0,0,4,1091,96,11,0,110,0,1200,1147,18,0,0,15,7,1170,20,48,3,0,59,0,78,0,9,3,0,9,0,9,0,0,0,3,3,0,3,20,57,7,3,70,0,91,3,0,0,0,0,0,4,1175,75,7,4,85,7,1261,677,7,0,0,11,0,688,14,18,0,0,15,0,36,0,8,0,0,8,0,8,0,0,0,0,0,0,0,14,23,0,0,23,0,40,4,0,0,0,0,0,3,697,26,4,0,36,0,732,400,7,0,0,8,0,405,10,12,0,0,11,0,23,0,3,0,0,3,0,3,0,0,0,0,0,0,0,10,12,0,0,11,0,26,0,0,0,0,0,0,0,405,17,4,3,23,0,430,504,5,0,0
LGA13340,466,3,0,0,3,0,473,6,10,0,0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,14,0,16,0,0,0,0,0,0,0,477,15,0,0,15,0,492,578,3,0,0,3,0,581,3,8,0,0,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,9,0,16,0,0,0,0,0,0,0,584,13,0,0,14,0,599,348,0,0,0,0,0,348,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,4,350,0,0,0,0,0,352,209,0,0,0,0,0,216,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,7,216,3,0,0,3,0,225,244,3,0,0
LGA13450,912,44,0,0,44,0,959,35,223,15,0,233,0,267,4,28,16,0,45,0,44,0,3,0,3,12,0,12,38,257,31,8,286,0,324,3,0,0,0,0,7,10,954,300,31,8,333,4,1288,921,54,3,0,60,3,984,43,201,12,0,210,0,255,0,23,26,0,45,0,45,0,3,0,8,12,0,12,43,223,39,8,265,0,311,5,0,0,0,0,0,4,970,277,35,8,324,3,1297,539,30,0,0,30,0,572,36,137,15,0,151,0,185,0,14,6,3,27,0,27,0,0,0,3,3,0,3,36,150,22,3,177,0,213,0,0,0,0,0,0,4,578,181,22,3,210,3,791,341,25,0,0,25,0,368,10,66,5,0,75,0,82,0,14,14,0,21,0,21,0,0,0,7,7,0,5,15,80,16,7,101,0,111,0,0,0,0,0,0,0,361,103,16,7,125,0,478,400,21,0,0
LGA13510,381,6,0,0,6,0,388,12,11,0,0,12,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,9,0,20,0,0,0,0,0,0,0,392,16,0,0,18,0,407,454,5,0,0,5,0,452,3,14,0,0,14,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,14,0,23,0,0,0,0,0,0,3,460,11,0,0,19,0,479,286,3,0,0,3,0,294,7,7,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,5,0,13,3,0,0,0,0,0,3,298,9,0,0,10,0,304,162,0,0,0,0,0,162,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,159,4,0,0,4,0,167,162,0,0,0
LGA13550,594,0,0,0,0,8,603,7,19,0,0,19,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,0,0,16,0,25,0,0,0,0,0,0,4,607,18,0,0,18,6,635,560,0,0,0,0,0,570,9,10,0,0,10,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,10,0,25,3,0,0,0,0,3,6,573,17,0,0,17,4,595,282,4,0,0,4,0,284,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,5,0,0,0,0,0,5,287,10,0,0,10,0,291,167,0,0,0,0,0,168,0,8,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,9,0,0,0,0,0,0,0,173,8,0,0,8,0,177,202,0,0,0
LGA13660,225,0,0,0,0,3,234,3,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,8,4,0,0,0,0,0,4,235,3,0,0,3,3,238,230,5,0,0,5,0,230,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,3,0,0,0,0,0,3,231,10,0,0,10,0,236,125,0,0,0,0,0,125,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,4,131,0,0,0,0,0,126,55,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,57,74,0,0,0
LGA13800,2818,80,0,0,80,10,2910,104,119,9,0,126,0,230,0,8,0,0,7,0,7,3,0,0,0,0,0,8,106,129,7,0,138,0,246,3,0,0,0,0,3,7,2932,210,7,0,218,13,3161,2891,78,0,0,85,8,2984,105,140,6,3,150,0,259,0,10,11,0,22,0,21,3,0,0,0,0,0,3,113,150,22,3,172,0,283,3,0,0,0,0,6,8,3007,236,21,3,257,16,3279,1780,44,0,0,44,0,1825,45,62,0,0,62,0,105,3,13,6,0,19,0,20,0,0,0,0,0,0,0,45,74,6,0,83,0,131,0,0,0,0,0,3,4,1825,116,6,0,126,3,1956,1110,21,0,0,21,0,1136,28,49,0,0,50,0,76,0,7,7,0,11,0,11,0,0,0,0,0,0,0,26,55,10,0,65,0,88,3,0,0,0,0,3,8,1146,81,10,0,83,3,1235,1437,23,0,0
LGA13850,82,0,0,0,0,0,82,3,7,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,6,0,8,0,0,0,0,0,0,0,87,7,0,0,11,0,98,118,0,0,0,0,0,118,0,7,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,3,0,0,0,0,0,0,0,118,7,0,0,3,0,124,72,0,0,0,0,0,72,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,73,0,0,0,4,0,75,31,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,34,50,0,0,0
LGA13910,681,7,0,0,7,0,686,6,31,3,0,37,0,40,0,6,0,0,9,0,9,0,0,0,0,0,0,0,6,41,5,0,47,0,51,0,0,0,0,0,0,3,687,46,5,0,47,0,742,794,5,0,0,5,3,801,10,38,4,0,38,0,45,0,0,0,0,3,0,3,0,0,0,0,0,0,0,10,39,3,0,41,0,51,0,0,0,0,0,0,0,797,46,3,0,45,3,854,438,3,0,0,3,3,444,3,31,0,0,35,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,0,0,34,0,41,0,0,0,0,0,0,0,443,38,0,0,42,3,487,256,3,0,0,3,3,262,0,13,0,0,13,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,9,0,0,0,0,0,0,0,258,14,0,0,14,3,275,350,3,0,0
LGA14000,3799,180,0,0,185,3,3989,474,2588,94,12,2698,0,3174,10,172,64,0,232,0,243,3,12,3,3,16,0,14,486,2772,161,14,2941,0,3436,3,6,0,0,4,8,19,4290,2955,164,14,3131,16,7435,4942,170,3,0,175,6,5124,442,2527,120,8,2655,4,3103,5,187,87,4,279,0,281,0,11,0,0,15,0,15,452,2730,203,12,2945,4,3402,10,3,0,0,3,3,18,5397,2908,204,12,3127,11,8542,2928,108,3,3,112,3,3041,213,1279,43,7,1329,0,1544,3,71,49,3,127,0,132,0,3,0,3,9,0,9,210,1360,96,12,1467,0,1679,3,0,0,0,0,0,3,3144,1463,97,11,1576,3,4721,1985,75,0,0,70,0,2064,123,782,23,4,802,0,925,4,43,41,0,86,0,95,0,0,0,0,3,0,3,126,826,60,3,896,0,1024,3,0,0,0,0,0,3,2119,902,60,7,967,3,3089,2702,87,3,0
LGA14100,403,30,0,0,28,0,432,49,111,0,0,115,0,165,0,3,0,0,3,0,3,0,0,0,0,0,0,0,49,116,0,0,117,0,167,3,0,0,0,0,3,4,457,142,0,0,150,3,603,568,31,0,3,33,0,598,35,98,0,0,102,0,142,0,0,0,0,0,0,5,0,0,0,0,0,0,0,40,98,0,0,103,0,143,0,0,0,0,0,0,0,610,131,0,3,135,0,742,332,18,0,0,18,0,353,25,54,3,0,62,0,85,0,0,3,0,4,0,4,0,0,0,0,0,0,0,25,60,4,0,61,0,86,0,0,0,0,0,0,0,360,76,4,0,79,0,440,219,7,0,0,7,0,229,20,31,3,0,29,0,47,0,0,0,0,4,0,4,0,0,0,0,0,0,0,20,32,3,0,37,0,51,0,0,0,0,0,0,0,239,40,3,0,43,0,283,261,15,0,0
LGA14170,5798,438,7,10,452,13,6263,680,1622,65,3,1686,0,2373,7,119,51,0,170,0,174,3,10,0,5,11,0,15,697,1752,111,7,1868,0,2561,6,4,0,0,4,6,16,6498,2195,118,18,2331,16,8844,5011,332,4,3,345,13,5373,498,1344,59,7,1410,0,1909,13,76,52,3,136,0,149,3,8,4,0,6,0,13,514,1426,116,10,1556,0,2070,3,3,0,0,3,5,14,5528,1765,125,19,1903,22,7453,2257,113,3,0,121,5,2374,257,589,36,3,634,0,891,4,57,54,0,110,3,121,3,4,0,0,4,0,4,267,646,93,3,744,3,1011,3,0,0,0,0,4,5,2520,762,95,8,863,5,3390,1294,70,0,0,75,0,1370,121,327,22,3,353,0,470,0,42,44,0,87,0,87,0,0,0,0,3,0,3,123,374,67,3,442,0,562,8,0,0,0,0,3,6,1421,446,72,3,516,3,1939,1540,90,0,0
LGA14200,613,3,0,0,3,5,622,16,13,3,0,21,0,35,0,0,4,0,5,0,5,0,3,0,0,3,0,4,19,19,8,0,24,0,44,3,0,0,0,0,4,12,634,21,8,0,32,12,670,634,9,0,0,9,0,644,6,17,0,0,14,0,23,0,4,4,0,3,0,3,0,0,0,0,0,0,0,6,15,4,0,21,0,28,0,0,0,0,0,0,0,642,27,4,0,33,0,670,377,0,0,0,0,0,380,3,15,0,0,15,0,18,0,6,0,0,10,0,12,0,0,0,0,0,0,0,3,19,0,0,24,0,29,0,0,0,0,0,0,3,380,27,0,0,28,0,411,229,7,0,0,7,0,236,3,14,0,0,14,0,17,0,5,0,0,7,0,7,0,0,0,0,0,0,0,3,14,0,0,14,0,17,0,0,0,0,0,0,0,238,17,0,0,20,0,255,306,8,0,0
LGA14300,221,0,0,0,0,0,221,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,224,253,0,0,0,0,0,253,3,5,0,0,5,0,10,0,3,0,0,3,0,3,0,0,0,0,0,0,0,4,11,0,0,11,0,15,0,0,0,0,0,0,0,258,11,0,0,11,0,263,152,0,0,0,0,0,152,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,0,0,0,0,151,4,0,0,4,0,152,93,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,95,0,0,0,0,0,101,91,0,0,0
